Date,Hospitalizations,AB_hosp_est,ICU_admissions,AB_ICU_est,Deaths,ED_visits,AB_ED_est
2021-04-30,13603,1956,3217,160,1369,35880,8337
2021-05-31,12991,1868,3587,178,1334,23359,5428
2021-06-30,4931,709,1755,87,552,5651,1313
2021-07-31,1921,276,773,38,217,3302,767
2021-08-31,2639,379,678,34,214,9832,2285
2021-09-30,6857,986,1619,80,816,18080,4201
2021-10-31,7215,1037,1754,87,1034,12151,2823
2021-11-30,4841,696,1352,67,647,7411,1722
2021-12-31,6184,889,1481,73,705,27654,6426
2022-01-31,29471,4238,4350,216,3808,68459,15907
2022-02-28,21705,3121,3605,179,2704,27661,6427
2022-03-31,13628,1960,2200,109,1402,23174,5385
2022-04-30,19168,1807,2437,1615,1831,42033,6283
2022-05-31,16618,1567,2229,1478,1672,21728,3248
2022-06-30,9741,918,1292,856,872,13211,1975
2022-07-31,14359,1354,1736,1151,1296,26781,4003
2022-08-31,15660,1477,2013,1334,1642,21521,3217
2022-09-30,13203,1245,1680,1114,1334,18269,2731
2022-10-31,16568,1562,2037,1350,1762,21900,3273
2022-11-30,15672,1478,2054,1362,1760,14897,2227
2022-12-31,14938,1408,1979,1312,1637,14183,2120
2023-01-01,13575,1280,1765,1170,1499,11246,1681
2023-02-28,9350,882,1285,852,965,8116,1213
2023-03-31,10002,943,1337,886,999,8484,1268
2023-04-30,5885,795,813,82,588,7526,1034
2023-05-31,4763,643,650,66,494,5061,695
2023-06-30,3019,408,407,41,308,2962,407
2023-07-31,2002,270,271,27,212,2711,372
2023-08-31,2338,316,304,31,184,4963,682
2023-09-30,3510,474,385,39,330,9990,1372
