date,reporting_week,totalcases,num_cases_last7,numdeaths,numdeaths_last7
2020-02-08,6,0,0,0,0
2020-02-15,7,0,0,0,0
2020-02-22,8,0,0,0,0
2020-02-29,9,0,0,0,0
2020-03-07,10,2,2,0,0
2020-03-14,11,56,54,0,0
2020-03-21,12,244,188,1,1
2020-03-28,13,666,422,1,0
2020-04-04,14,1232,566,23,22
2020-04-11,15,1553,321,45,22
2020-04-18,16,2495,942,57,12
2020-04-25,17,4231,1736,84,27
2020-05-02,18,5567,1336,104,20
2020-05-09,19,6092,525,117,13
2020-05-16,20,6530,438,128,11
2020-05-23,21,6773,243,139,11
2020-05-30,22,6939,166,144,5
2020-06-06,23,7110,171,150,6
2020-06-13,24,7358,248,151,1
2020-06-20,25,7661,303,152,1
2020-06-27,26,7944,283,154,2
2020-07-04,27,8286,342,156,2
2020-07-11,28,8696,410,162,6
2020-07-18,29,9434,738,170,8
2020-07-25,30,10233,799,184,14
2020-08-01,31,10942,709,200,16
2020-08-08,32,11570,628,214,14
2020-08-15,33,12157,587,225,11
2020-08-22,34,12850,693,232,7
2020-08-29,35,13698,848,237,5
2020-09-05,36,14694,996,244,7
2020-09-12,37,15582,888,252,8
2020-09-19,38,16576,994,253,1
2020-09-26,39,17595,1019,262,9
2020-10-03,40,18736,1141,277,15
2020-10-10,41,20310,1574,284,7
2020-10-17,42,22107,1797,289,5
2020-10-24,43,25039,2932,306,17
2020-10-31,44,28568,3529,333,27
2020-11-07,45,33252,4684,373,40
2020-11-14,46,39030,5778,422,49
2020-11-21,47,46513,7483,493,71
2020-11-28,48,56051,9538,567,74
2020-12-05,49,68125,12074,680,113
2020-12-12,50,79785,11660,812,132
2020-12-19,51,90008,10223,961,149
2020-12-26,52,97407,7399,1116,155
2021-01-02,53,104633,7226,1267,151
2021-01-09,1,111729,7096,1426,159
2021-01-16,2,117088,5359,1557,131
2021-01-23,3,121013,3925,1672,115
2021-01-30,4,124049,3036,1744,72
2021-02-06,5,126646,2597,1802,58
2021-02-13,6,128722,2076,1854,52
2021-02-20,7,130974,2252,1880,26
2021-02-27,8,133417,2443,1905,25
2021-03-06,9,135748,2331,1924,19
2021-03-13,10,138286,2538,1950,26
2021-03-20,11,141763,3477,1965,15
2021-03-27,12,146161,4398,1987,22
2021-04-03,13,152176,6015,2002,15
2021-04-10,14,160737,8561,2014,12
2021-04-17,15,170548,9811,2037,23
2021-04-24,16,181452,10904,2070,33
2021-05-01,17,194503,13051,2102,32
2021-05-08,18,208307,13804,2125,23
2021-05-15,19,218647,10340,2153,28
2021-05-22,20,224010,5363,2188,35
2021-05-29,21,227135,3125,2223,35
2021-06-05,22,229116,1981,2247,24
2021-06-12,23,230423,1307,2269,22
2021-06-19,24,231295,872,2290,21
2021-06-26,25,231810,515,2297,7
2021-07-03,26,232163,353,2304,7
2021-07-10,27,232467,304,2306,2
2021-07-17,28,232755,288,2315,9
2021-07-24,29,233492,737,2320,5
2021-07-31,30,234795,1303,2324,4
2021-08-07,31,236790,1995,2329,5
2021-08-14,32,239963,3173,2332,3
2021-08-21,33,244492,4529,2346,14
2021-08-28,34,251137,6645,2372,26
2021-09-04,35,259773,8636,2414,42
2021-09-11,36,269213,9440,2471,57
2021-09-18,37,280761,11548,2567,96
2021-09-25,38,291780,11019,2670,103
2021-10-02,39,302772,10992,2785,115
2021-10-09,40,310498,7726,2879,94
2021-10-16,41,315930,5432,2984,105
2021-10-23,42,320541,4611,3055,71
2021-10-30,43,324008,3467,3118,63
2021-11-06,44,327195,3187,3156,38
2021-11-13,45,330044,2849,3195,39
2021-11-20,46,332726,2682,3219,24
2021-11-27,47,335074,2348,3244,25
2021-12-04,48,337269,2195,3266,22
2021-12-11,49,339340,2071,3278,12
2021-12-18,50,342603,3263,3293,15
2021-12-25,51,352873,10270,3303,10
