week_end,week_start,numtotal_atleast1dose,numtotal_partially,numtotal_fully,numtotal_vax_last7,numtotal_onlyfully,numtotal_additional,numtotal_1additional,numtotal_2nd_additional,numtotal_recommended_vax
2020-12-26,2020-12-19,4792,4792,0,0,0,0,0,0,0
2021-01-02,2020-12-26,13383,13383,0,0,0,0,0,0,0
2021-01-09,2021-01-02,44298,43574,724,724,0,0,0,0,0
2021-01-16,2021-01-09,81859,77784,4075,3351,0,0,0,0,0
2021-01-23,2021-01-16,89557,80088,9469,5394,0,0,0,0,0
2021-01-30,2021-01-23,90238,74244,15994,6525,0,0,0,0,0
2021-02-06,2021-01-30,90668,68989,21679,5685,0,0,0,0,0
2021-02-13,2021-02-06,94996,44314,50682,29003,0,0,0,0,0
2021-02-20,2021-02-13,103236,37048,66188,15506,0,0,0,0,0
2021-02-27,2021-02-20,139961,52554,87407,21219,0,0,0,0,0
2021-03-06,2021-02-27,202240,111622,90618,3211,0,0,0,0,0
2021-03-13,2021-03-06,288021,196484,91537,919,0,0,0,0,0
2021-03-20,2021-03-13,388455,295430,93025,1488,0,0,0,0,0
2021-03-27,2021-03-20,504407,408276,96131,3106,0,0,0,0,0
2021-04-03,2021-03-27,600594,488608,111986,15855,0,0,0,0,0
2021-04-10,2021-04-03,728292,563935,164357,52371,0,0,0,0,0
2021-04-17,2021-04-10,932880,700554,232326,67969,0,0,0,0,0
2021-04-24,2021-04-17,1127370,856730,270640,38314,0,0,0,0,0
2021-05-01,2021-04-24,1305432,1011710,293722,23082,0,0,0,0,0
2021-05-08,2021-05-01,1556400,1246471,309929,16207,0,0,0,0,0
2021-05-15,2021-05-08,1850072,1529798,320274,10345,0,0,0,0,0
2021-05-22,2021-05-15,1854382,1533466,320916,642,0,0,0,0,0
2021-05-29,2021-05-22,2357833,1977913,379920,59004,0,0,0,0,0
2021-06-05,2021-05-29,2511236,1991366,519870,139950,0,0,0,0,0
2021-06-12,2021-06-05,2589472,1836304,753168,233298,0,0,0,0,0
2021-06-19,2021-06-12,2638391,1563338,1075053,321885,0,0,0,0,0
2021-06-26,2021-06-19,2663494,1371422,1292072,217019,0,0,0,0,0
2021-07-03,2021-06-26,2717742,941417,1776325,484253,0,0,0,0,0
2021-07-10,2021-07-03,2747926,763206,1984720,208395,0,0,0,0,0
2021-07-17,2021-07-10,2779941,540094,2239847,255127,0,0,0,0,0
2021-07-24,2021-07-17,2803897,422693,2381204,141357,0,0,0,0,0
2021-07-31,2021-07-24,2825516,359966,2465550,84346,0,0,0,0,0
2021-08-07,2021-07-31,2842134,330323,2511811,46261,0,0,0,0,0
2021-08-14,2021-08-07,2858602,309715,2548887,37076,0,0,0,0,0
2021-08-21,2021-08-14,2876600,293995,2582605,33718,0,0,0,0,0
2021-08-28,2021-08-21,2898859,282060,2616799,34194,0,0,0,0,0
2021-09-04,2021-08-28,2925095,275296,2649799,33000,0,0,0,0,0
2021-09-11,2021-09-04,2947934,275929,2672005,22206,0,0,0,0,0
2021-09-18,2021-09-11,3031198,306094,2725104,53099,0,0,0,0,0
2021-09-25,2021-09-18,3089325,325445,2763880,38776,0,0,0,0,0
2021-10-02,2021-09-25,3136368,333856,2802512,38632,0,0,0,0,0
2021-10-09,2021-10-02,3175136,331550,2843586,41074,0,0,0,0,0
2021-10-16,2021-10-09,3203485,306771,2896714,53128,0,0,0,0,0
2021-10-23,2021-10-16,3229562,265192,2964370,67656,0,0,0,0,0
2021-10-30,2021-10-23,3244251,238555,3005696,41326,0,0,0,0,0
2021-11-06,2021-10-30,3258867,216748,3042119,36423,0,0,0,0,0
2021-11-13,2021-11-06,3272662,196510,3076152,34033,0,0,0,0,0
2021-11-20,2021-11-13,3290358,178640,3111718,35566,0,0,0,0,0
2021-11-27,2021-11-20,3351130,201792,3149338,37620,0,0,0,0,0
2021-12-04,2021-11-27,3365876,212747,3153129,3791,0,0,0,0,0
2021-12-11,2021-12-04,3398445,230667,3167778,14649,2661934,505844,505844,0,0
2021-12-18,2021-12-11,3423483,241363,3182120,14342,2545263,636857,636857,0,0
2021-12-25,2021-12-18,3442633,250552,3192081,9961,2372750,819331,819331,0,0
2022-01-01,2021-12-25,3456323,256700,3199623,7542,2227675,971948,971948,0,0
2022-01-08,2022-01-01,3473133,262625,3210508,10885,2075144,1135364,1135364,0,0
2022-01-15,2022-01-08,3491701,266768,3224933,14425,1948431,1276502,1276502,0,0
2022-01-22,2022-01-15,3507630,265675,3241955,17022,1865080,1376875,1376875,0,0
2022-01-30,2022-01-23,3522746,248024,3274722,32767,1816548,1458174,1458174,0,0
2022-02-06,2022-01-30,3530244,231197,3299047,24325,1799372,1499675,1499675,0,0
2022-02-13,2022-02-06,3535101,220362,3314739,15692,1785280,1529459,1529459,0,0
2022-02-20,2022-02-13,3539255,209445,3329810,15071,1779454,1550356,1550356,0,0
2022-02-27,2022-02-20,3541971,201427,3340544,10734,1777496,1563048,1563048,0,0
2022-03-06,2022-02-27,3543997,195832,3348165,7621,1775629,1572536,1572536,0,0
2022-03-13,2022-03-06,3545894,191107,3354787,6622,1773691,1581096,1581096,0,0
2022-03-20,2022-03-13,3547819,186987,3360832,6045,1763939,1596893,1596893,0,0
2022-03-27,2022-03-20,3549634,182729,3366905,6073,1758008,1608897,1608897,0,0
2022-04-03,2022-03-27,3551369,179227,3372142,5237,1753393,1618749,1618749,0,0
2022-04-10,2022-04-03,3552983,177213,3375770,3628,1747751,1628019,1628019,0,0
2022-04-24,2022-04-17,3556699,174142,3382557,6787,1737470,1645087,1645087,0,0
2022-05-08,2022-05-01,3560833,172293,3388540,5983,1725191,1663349,1663349,0,0
2022-05-22,2022-05-15,3564293,171123,3393170,4630,1719558,1673612,1673612,0,0
2022-06-19,2022-06-12,3569539,168568,3400971,7801,1712304,1688667,1688667,0,0
2022-07-17,2022-07-10,3573383,166296,3407087,6116,1704364,1702723,1702723,0,0
2022-08-14,2022-08-07,3585477,172091,3413386,6299,1691629,1721757,1345342,376415,580185
2022-09-11,2022-09-04,3596158,177719,3418439,5053,1678362,1740077,1302540,437537,579264
2022-10-09,2022-10-02,3601165,177773,3423392,4953,1670202,1753190,1240713,512477,539043
2022-11-06,2022-10-30,3605381,175648,3429733,6341,1654880,1774853,1125482,649371,595514
2022-12-04,2022-11-27,3609940,174801,3435139,5406,1639290,1795849,1049790,746059,662925
