weekstart,Location,EpiYear,EpiWeek,measureid,w_avg
2024-06-02,Calgary,2024,23,covN2,55.92418286
2024-06-09,Calgary,2024,24,covN2,60.47820841
2024-06-16,Calgary,2024,25,covN2,33.98886368
2024-06-23,Calgary,2024,26,covN2,41.83407885
2024-06-30,Calgary,2024,27,covN2,54.24915488
2024-07-07,Calgary,2024,28,covN2,93.80116685
2024-07-14,Calgary,2024,29,covN2,77.46648886
2024-07-21,Calgary,2024,30,covN2,72.88698824
2024-07-28,Calgary,2024,31,covN2,84.4469638
2024-08-04,Calgary,2024,32,covN2,80.74006836
2024-08-11,Calgary,2024,33,covN2,51.85525661
2024-08-18,Calgary,2024,34,covN2,45.26661452
2024-08-25,Calgary,2024,35,covN2,58.57218031
2024-09-01,Calgary,2024,36,covN2,65.27156637
2024-09-08,Calgary,2024,37,covN2,82.54380291
2024-09-15,Calgary,2024,38,covN2,24.02760192
2024-09-22,Calgary,2024,39,covN2,27.32655856
2024-09-29,Calgary,2024,40,covN2,29.48819299
2024-10-06,Calgary,2024,41,covN2,56.6281305
2024-10-13,Calgary,2024,42,covN2,31.37091322
2024-10-20,Calgary,2024,43,covN2,36.11498123
2024-10-27,Calgary,2024,44,covN2,61.15275824
2024-11-03,Calgary,2024,45,covN2,71.7847051
2024-11-10,Calgary,2024,46,covN2,47.91629501
2024-11-17,Calgary,2024,47,covN2,89.48384906
2024-11-24,Calgary,2024,48,covN2,54.31488973
2024-12-01,Calgary,2024,49,covN2,64.82843946
2024-12-08,Calgary,2024,50,covN2,42.1403966
2024-12-15,Calgary,2024,51,covN2,81.93718811
2024-12-22,Calgary,2024,52,covN2,29.35439965
2024-12-29,Calgary,2025,1,covN2,31.62178867
2025-01-05,Calgary,2025,2,covN2,57.64084486
2025-01-12,Calgary,2025,3,covN2,27.49649583
2025-01-19,Calgary,2025,4,covN2,16.43133481
2025-01-26,Calgary,2025,5,covN2,29.03042972
2025-02-02,Calgary,2025,6,covN2,23.63784572
2025-02-09,Calgary,2025,7,covN2,13.1777084
2025-02-16,Calgary,2025,8,covN2,29.03285619
2025-02-23,Calgary,2025,9,covN2,10.14866313
2025-03-02,Calgary,2025,10,covN2,4.25832095
2025-03-09,Calgary,2025,11,covN2,7.531682889
2025-03-16,Calgary,2025,12,covN2,8.91475454
2025-03-23,Calgary,2025,13,covN2,19.88499842
2025-03-30,Calgary,2025,14,covN2,9.66511342
2025-04-06,Calgary,2025,15,covN2,7.737707489
2025-04-13,Calgary,2025,16,covN2,12.26618649
2025-04-20,Calgary,2025,17,covN2,12.25534012
2025-04-27,Calgary,2025,18,covN2,38.73503704
2025-05-04,Calgary,2025,19,covN2,14.8730248
2025-05-11,Calgary,2025,20,covN2,12.83829042
2025-05-18,Calgary,2025,21,covN2,17.09549113
2025-05-25,Calgary,2025,22,covN2,14.94959176
2025-06-01,Calgary,2025,23,covN2,18.96026531
2025-06-08,Calgary,2025,24,covN2,19.08837761
2025-06-15,Calgary,2025,25,covN2,14.4104431
2025-06-22,Calgary,2025,26,covN2,47.97040581
2025-06-29,Calgary,2025,27,covN2,19.92885093
2025-07-06,Calgary,2025,28,covN2,19.98249967
2025-07-13,Calgary,2025,29,covN2,30.07414401
2025-07-20,Calgary,2025,30,covN2,15.28623522
2025-07-27,Calgary,2025,31,covN2,57.88152273
2025-08-03,Calgary,2025,32,covN2,17.32033327
2025-08-10,Calgary,2025,33,covN2,49.27218524
2025-08-17,Calgary,2025,34,covN2,73.71099973
2025-08-24,Calgary,2025,35,covN2,26.49365214
2025-08-31,Calgary,2025,36,covN2,19.57300212
2025-09-07,Calgary,2025,37,covN2,26.57059951
