Location,site,city,province,country,EpiYear,EpiWeek,weekstart,measureid,w_avg,min,max,populationcoverage,pruid
Alberta,,,Alberta,Canada,2021,6,2021-02-07,covN2,21.59897432,20.29608884,77.11578349,0.445026375,48
Alberta,,,Alberta,Canada,2021,7,2021-02-14,covN2,17.55607733,10.71770871,68.18978943,0.445026375,48
Alberta,,,Alberta,Canada,2021,8,2021-02-21,covN2,7.835409181,7.835409181,104.9037052,0.445026375,48
Alberta,,,Alberta,Canada,2021,9,2021-02-28,covN2,15.7812438,7.418467153,150.9159585,0.445026375,48
Alberta,,,Alberta,Canada,2021,10,2021-03-07,covN2,13.28430025,5.520128101,77.62188257,0.445026375,48
Alberta,,,Alberta,Canada,2021,11,2021-03-14,covN2,19.05955342,6.198514676,27.70319234,0.445026375,48
Alberta,,,Alberta,Canada,2021,12,2021-03-21,covN2,32.02021176,6.972449766,32.02021176,0.445026375,48
Alberta,,,Alberta,Canada,2021,13,2021-03-28,covN2,39.48757021,13.16982595,74.35680967,0.445026375,48
Alberta,,,Alberta,Canada,2021,14,2021-04-04,covN2,61.00273761,7.834375407,113.2495703,0.445026375,48
Alberta,,,Alberta,Canada,2021,15,2021-04-11,covN2,82.50247396,8.202094366,251.5849327,0.445026375,48
Alberta,,,Alberta,Canada,2021,16,2021-04-18,covN2,82.21721081,11.38720731,103.5911788,0.445026375,48
Alberta,,,Alberta,Canada,2021,17,2021-04-25,covN2,121.724686,10.43557189,246.5071013,0.445026375,48
Alberta,,,Alberta,Canada,2021,18,2021-05-02,covN2,68.58298829,34.05709244,113.6838825,0.445026375,48
Alberta,,,Alberta,Canada,2021,19,2021-05-09,covN2,56.95490715,12.45661668,158.1319322,0.445026375,48
Alberta,,,Alberta,Canada,2021,20,2021-05-16,covN2,30.25333102,12.83829042,125.3248008,0.445026375,48
Alberta,,,Alberta,Canada,2021,21,2021-05-23,covN2,17.40419687,14.53799293,207.0217171,0.445026375,48
Alberta,,,Alberta,Canada,2021,22,2021-05-30,covN2,15.24216311,13.35649226,121.0159349,0.445026375,48
Alberta,,,Alberta,Canada,2021,23,2021-06-06,covN2,7.157330913,7.157330913,79.38900078,0.445026375,48
Alberta,,,Alberta,Canada,2021,24,2021-06-13,covN2,5.427251131,4.210122787,52.7721859,0.445026375,48
Alberta,,,Alberta,Canada,2021,25,2021-06-20,covN2,4.076796646,1.990727873,36.13307824,0.445026375,48
Alberta,,,Alberta,Canada,2021,26,2021-06-27,covN2,3.548070909,3.548070909,70.30752673,0.445026375,48
Alberta,,,Alberta,Canada,2021,27,2021-07-04,covN2,2.10609053,2.10609053,50.56701915,0.445026375,48
Alberta,,,Alberta,Canada,2021,28,2021-07-11,covN2,2.190159431,2.190159431,100.8093625,0.445026375,48
Alberta,,,Alberta,Canada,2021,29,2021-07-18,covN2,4.10951674,4.10951674,63.87213346,0.445026375,48
Alberta,,,Alberta,Canada,2021,30,2021-07-25,covN2,11.68364995,11.68364995,51.98376868,0.445026375,48
Alberta,,,Alberta,Canada,2021,31,2021-08-01,covN2,23.1427737,3.572314497,59.90100113,0.445026375,48
Alberta,,,Alberta,Canada,2021,32,2021-08-08,covN2,43.79684049,17.7390031,72.27552735,0.445026375,48
Alberta,,,Alberta,Canada,2021,33,2021-08-15,covN2,84.63806473,21.17671461,84.63806473,0.445026375,48
Alberta,,,Alberta,Canada,2021,34,2021-08-22,covN2,67.70109423,5.792429883,72.29524544,0.445026375,48
Alberta,,,Alberta,Canada,2021,35,2021-08-29,covN2,157.6630067,19.86538118,157.6630067,0.445026375,48
Alberta,,,Alberta,Canada,2021,36,2021-09-05,covN2,167.9600148,14.32832644,167.9600148,0.445026375,48
Alberta,,,Alberta,Canada,2021,37,2021-09-12,covN2,126.4366567,17.23733081,126.4366567,0.445026375,48
Alberta,,,Alberta,Canada,2021,38,2021-09-19,covN2,123.2858274,23.81495755,123.2858274,0.445026375,48
Alberta,,,Alberta,Canada,2021,39,2021-09-26,covN2,108.6535074,23.63007224,108.6535074,0.445026375,48
Alberta,,,Alberta,Canada,2021,40,2021-10-03,covN2,50.66145508,29.51872108,114.6106092,0.445026375,48
Alberta,,,Alberta,Canada,2021,41,2021-10-10,covN2,44.73844488,44.35885591,98.42973687,0.445026375,48
Alberta,,,Alberta,Canada,2021,42,2021-10-17,covN2,76.51823852,36.32775453,98.378704,0.445026375,48
Alberta,,,Alberta,Canada,2021,43,2021-10-24,covN2,38.51641285,38.51641285,124.5420073,0.445026375,48
Alberta,,,Alberta,Canada,2021,44,2021-10-31,covN2,43.20157837,43.20157837,128.6353585,0.445026375,48
Alberta,,,Alberta,Canada,2021,45,2021-11-07,covN2,26.54941409,26.54941409,162.711141,0.445026375,48
Alberta,,,Alberta,Canada,2021,46,2021-11-14,covN2,34.57827991,34.57827991,102.3756029,0.445026375,48
Alberta,,,Alberta,Canada,2021,47,2021-11-21,covN2,29.00751013,29.00751013,92.15967966,0.445026375,48
Alberta,,,Alberta,Canada,2021,48,2021-11-28,covN2,25.9217784,25.9217784,77.9226092,0.445026375,48
Alberta,,,Alberta,Canada,2021,49,2021-12-05,covN2,18.03711786,18.03711786,71.88177707,0.445026375,48
Alberta,,,Alberta,Canada,2021,50,2021-12-12,covN2,19.71358523,19.71358523,92.53217171,0.445026375,48
Alberta,,,Alberta,Canada,2021,51,2021-12-19,covN2,48.34952739,48.34952739,80.40034232,0.445026375,48
Alberta,,,Alberta,Canada,2021,52,2021-12-26,covN2,138.0957026,57.88784515,138.0957026,0.445026375,48
Alberta,,,Alberta,Canada,2022,1,2022-01-02,covN2,139.1958976,42.44713744,153.6846982,0.445026375,48
Alberta,,,Alberta,Canada,2022,2,2022-01-09,covN2,153.8242588,46.41089486,153.8242588,0.445026375,48
Alberta,,,Alberta,Canada,2022,3,2022-01-16,covN2,251.868738,27.20442165,251.868738,0.445026375,48
Alberta,,,Alberta,Canada,2022,4,2022-01-23,covN2,200.3289147,20.5606854,200.3289147,0.445026375,48
Alberta,,,Alberta,Canada,2022,5,2022-01-30,covN2,70.28549212,25.13228767,70.28549212,0.445026375,48
Alberta,,,Alberta,Canada,2022,6,2022-02-06,covN2,70.99969501,20.29608884,77.11578349,0.445026375,48
Alberta,,,Alberta,Canada,2022,7,2022-02-13,covN2,35.13853068,10.71770871,68.18978943,0.445026375,48
Alberta,,,Alberta,Canada,2022,8,2022-02-20,covN2,35.64359645,7.835409181,104.9037052,0.445026375,48
Alberta,,,Alberta,Canada,2022,9,2022-02-27,covN2,24.12702394,7.418467153,150.9159585,0.445026375,48
Alberta,,,Alberta,Canada,2022,10,2022-03-06,covN2,25.86512409,5.520128101,77.62188257,0.445026375,48
Alberta,,,Alberta,Canada,2022,11,2022-03-13,covN2,12.90496011,6.198514676,27.70319234,0.445026375,48
Alberta,,,Alberta,Canada,2022,12,2022-03-20,covN2,27.89033968,6.972449766,32.02021176,0.445026375,48
Alberta,,,Alberta,Canada,2022,13,2022-03-27,covN2,74.35680967,13.16982595,74.35680967,0.445026375,48
Alberta,,,Alberta,Canada,2022,14,2022-04-03,covN2,113.2495703,7.834375407,113.2495703,0.445026375,48
Alberta,,,Alberta,Canada,2022,15,2022-04-10,covN2,251.5849327,8.202094366,251.5849327,0.445026375,48
Alberta,,,Alberta,Canada,2022,16,2022-04-17,covN2,103.5911788,11.38720731,103.5911788,0.445026375,48
Alberta,,,Alberta,Canada,2022,17,2022-04-24,covN2,246.5071013,10.43557189,246.5071013,0.445026375,48
Alberta,,,Alberta,Canada,2022,18,2022-05-01,covN2,81.10775921,34.05709244,113.6838825,0.445026375,48
Alberta,,,Alberta,Canada,2022,19,2022-05-08,covN2,127.4451968,12.45661668,158.1319322,0.445026375,48
Alberta,,,Alberta,Canada,2022,20,2022-05-15,covN2,125.3248008,12.83829042,125.3248008,0.445026375,48
Alberta,,,Alberta,Canada,2022,21,2022-05-22,covN2,207.0217171,14.53799293,207.0217171,0.445026375,48
Alberta,,,Alberta,Canada,2022,22,2022-05-29,covN2,121.0159349,13.35649226,121.0159349,0.445026375,48
Alberta,,,Alberta,Canada,2022,23,2022-06-05,covN2,79.38900078,7.157330913,79.38900078,0.445026375,48
Alberta,,,Alberta,Canada,2022,24,2022-06-12,covN2,21.37730134,4.210122787,52.7721859,0.445026375,48
Alberta,,,Alberta,Canada,2022,25,2022-06-19,covN2,15.01636839,1.990727873,36.13307824,0.445026375,48
Alberta,,,Alberta,Canada,2022,26,2022-06-26,covN2,39.91519931,3.548070909,70.30752673,0.445026375,48
Alberta,,,Alberta,Canada,2022,27,2022-07-03,covN2,50.56701915,2.10609053,50.56701915,0.445026375,48
Alberta,,,Alberta,Canada,2022,28,2022-07-10,covN2,100.8093625,2.190159431,100.8093625,0.445026375,48
Alberta,,,Alberta,Canada,2022,29,2022-07-17,covN2,63.87213346,4.10951674,63.87213346,0.445026375,48
Alberta,,,Alberta,Canada,2022,30,2022-07-24,covN2,43.60615627,11.68364995,51.98376868,0.445026375,48
Alberta,,,Alberta,Canada,2022,31,2022-07-31,covN2,3.572314497,3.572314497,59.90100113,0.445026375,48
Alberta,,,Alberta,Canada,2022,32,2022-08-07,covN2,24.00013826,17.7390031,72.27552735,0.445026375,48
Alberta,,,Alberta,Canada,2022,33,2022-08-14,covN2,38.06118394,21.17671461,84.63806473,0.445026375,48
Alberta,,,Alberta,Canada,2022,34,2022-08-21,covN2,72.29524544,5.792429883,72.29524544,0.445026375,48
Alberta,,,Alberta,Canada,2022,35,2022-08-28,covN2,47.81174723,19.86538118,157.6630067,0.445026375,48
Alberta,,,Alberta,Canada,2022,36,2022-09-04,covN2,44.98210959,14.32832644,167.9600148,0.445026375,48
Alberta,,,Alberta,Canada,2022,37,2022-09-11,covN2,45.95226778,17.23733081,126.4366567,0.445026375,48
Alberta,,,Alberta,Canada,2022,38,2022-09-18,covN2,26.94901854,23.81495755,123.2858274,0.445026375,48
Alberta,,,Alberta,Canada,2022,40,2022-10-02,covN2,114.6106092,29.51872108,114.6106092,0.445026375,48
Alberta,,,Alberta,Canada,2022,41,2022-10-09,covN2,44.35885591,44.35885591,98.42973687,0.445026375,48
Alberta,,,Alberta,Canada,2022,42,2022-10-16,covN2,98.378704,36.32775453,98.378704,0.445026375,48
Alberta,,,Alberta,Canada,2022,43,2022-10-23,covN2,58.81632821,38.51641285,124.5420073,0.445026375,48
Alberta,,,Alberta,Canada,2022,44,2022-10-30,covN2,49.43862309,43.20157837,128.6353585,0.445026375,48
Alberta,,,Alberta,Canada,2022,45,2022-11-06,covN2,162.711141,26.54941409,162.711141,0.445026375,48
Alberta,,,Alberta,Canada,2022,46,2022-11-13,covN2,72.33041518,34.57827991,102.3756029,0.445026375,48
Alberta,,,Alberta,Canada,2022,47,2022-11-20,covN2,39.62281989,29.00751013,92.15967966,0.445026375,48
Alberta,,,Alberta,Canada,2022,48,2022-11-27,covN2,77.9226092,25.9217784,77.9226092,0.445026375,48
Alberta,,,Alberta,Canada,2022,49,2022-12-04,covN2,71.88177707,18.03711786,71.88177707,0.445026375,48
Alberta,,,Alberta,Canada,2022,50,2022-12-11,covN2,92.53217171,19.71358523,92.53217171,0.445026375,48
Alberta,,,Alberta,Canada,2022,51,2022-12-18,covN2,63.56917944,48.34952739,80.40034232,0.445026375,48
Alberta,,,Alberta,Canada,2022,52,2022-12-25,covN2,59.22883619,57.88784515,138.0957026,0.445026375,48
Alberta,,,Alberta,Canada,2023,1,2023-01-01,covN2,109.1634599,42.44713744,153.6846982,0.445026375,48
Alberta,,,Alberta,Canada,2023,2,2023-01-08,covN2,46.41089486,46.41089486,153.8242588,0.445026375,48
Alberta,,,Alberta,Canada,2023,3,2023-01-15,covN2,32.64627794,27.20442165,251.868738,0.445026375,48
Alberta,,,Alberta,Canada,2023,4,2023-01-22,covN2,23.92075975,20.5606854,200.3289147,0.445026375,48
Alberta,,,Alberta,Canada,2023,5,2023-01-29,covN2,37.55007424,25.13228767,70.28549212,0.445026375,48
Alberta,,,Alberta,Canada,2023,6,2023-02-05,covN2,77.11578349,20.29608884,77.11578349,0.445026375,48
Alberta,,,Alberta,Canada,2023,7,2023-02-12,covN2,68.18978943,10.71770871,68.18978943,0.445026375,48
Alberta,,,Alberta,Canada,2023,8,2023-02-19,covN2,39.21036985,7.835409181,104.9037052,0.445026375,48
Alberta,,,Alberta,Canada,2023,9,2023-02-26,covN2,150.9159585,7.418467153,150.9159585,0.445026375,48
Alberta,,,Alberta,Canada,2023,10,2023-03-05,covN2,77.62188257,5.520128101,77.62188257,0.445026375,48
Alberta,,,Alberta,Canada,2023,11,2023-03-12,covN2,27.70319234,6.198514676,27.70319234,0.445026375,48
Alberta,,,Alberta,Canada,2023,12,2023-03-19,covN2,15.25856188,6.972449766,32.02021176,0.445026375,48
Alberta,,,Alberta,Canada,2023,13,2023-03-26,covN2,40.56297079,13.16982595,74.35680967,0.445026375,48
